review,rating
"you can run if you run harder it gets harder and i like this game you can run you start to being slow after you can be speedy and it gets harder and harder and harder until it gets to impossible can you beat me can anybody beat me it's impossible iron 340 miles while my next stage is 340,000 miles i play all day i think i play 1 hour and i don't give up and i was too fast and i died and i have no keys so my friends challenge me that's why i can't revive i don't have keys anymore",5
it's been 5 years since I last played this game is amazing 🌹❤️,5
not downloading very poor thu....,1
this is too good,5
ads for reward reasonable but ads after every single race or run is just shows the greed Dev,1
Can you please add the options to send friend requests on the app from subway surfers to connect with the people we compete with,5
it is an amazing and interesting game,5
this game is very nice I play 1st time this game I am not expecting this game is very super cool But I saw this game have many event which I play I not know which event I should play but you should play thank for optional .,5
"There are so many things good about this game, it's simple, you run, dodge, collect, and play! I can see how much effort there is put into this game. One of the most classic games. 5/5",5
fun and interesting,5
it is soo fun,5
it's really good I played this game since childhood and this game is so enjoyable.new update is awesome.,5
this is interesting,5
"Hello! I would like to address an issue that i kept receiving inside the game. I personally and honestly do not like the Surfer Pass update and i don't know why i have it. I saw some users or gamers online playing Subway Surfers and they do not have the same update as i have. I'm very disappointed since i can't play the Showdown online update. Since i have the Surfer Pass update. To all administrators and staffs of Sybo Games. Please, i am requesting to not have this update anymore.",1
It is an absolute amazing game !,5
"I have deducted 1★ because I was unable to see my position in LEADERBOARD, even when I scored 25,000 and there is showing nothing. Please Fix it!",4
this game hits nostalgic and very good,5
this super gamme,5
THIS GAME WAS AWESOME BUT I WANT ANIME UBDATE Eg:-[NARUTO],5
its pretty fun and it about timing and reflex but i have some tips for people who play this if you almost die in game equip a hoverboard and if you dont like ads just wifi off,4
Super game very thanks subway surfers🥰😊,5
Nice game 🎮🎯 I am like this game 💯💯💯💯💯🙏 🫡🫡🫡🫡,5
All the progress is lost even account is login 😕,1
very good game,5
i love this game,5
this is very mindful game it boost our conencterion,5
nice game i love this game..,5
instal this game I love the game so much subway is a nice game instal this app bye.,5
IT HELPS ME TO BELIEVE IN MYSELF,5
it's was my favourite game when I was a kid,5
very cool app,5
it was good and my sister and I play this all the time I love it,5
best runner game ever they also made subway surfers city but it can't surpass the classic one,5
🥰 it's not a game it's an emotion,5
This is the game I am looking forward to playing it is the best games I installed in my phone recommend to install it on your phone or pc or laptop amazing game...,5
I like it alot nice game but some bad things,3
very Good game,5
Bast game,5
"Good game but I wish there were tutorials for the moves. Such as, how do you roll or jump lanes or hang from wires?",4
force ads,1
Very Good. Getting Top On The Leaderboard is a good feeling,5
pretty great game it's a classic,5
ABSOLUT CINEMA,5
your game is best but I want to suggest something... that you can use BTS as a character and country you can use where they do concerts and their mike you can use as a new skateboard theme i hope you'll like my idea .. Thank you 🙂,5
I love this game of is the best and spider man favourite game,5
this is the best game I have ever played.#cool,5
my life first game,5
very nice editing for this app,5
best interest and experience ❣️,5
"it's a Very good game, I've been playing it since 2018 and it's still good",3
This is my childhood,5
Good game and smooth graphics 👍,5
It is very good to play,5
You can play this game 🎮🎮 offline.,2
cool,5
"helps reduce stress,being a adult it helped me a lot with stress and enjoyable to play.",5
it's a good game almost everything is hidden behind a advertisement or pay wall,2
wow lovely game I love it,5
"Subway Surfers is one of the best time-pass games on mobile. The gameplay is very smooth and easy to understand. I like the colorful graphics and different city themes. The characters and hoverboards make the game more interesting. The game is perfect when I feel bored. It also runs smoothly on normal Android phones. The only problem is that sometimes it feels repetitive and there are many ads in the free version. Overall, it is a fun and entertaining game.",4
Everything is good 😊✨,5
the best offline game 🎮🎯,5
THIS GAME IS THE BEST DOWNLOAD IT NOW,5
"bro sybo, can you change the amount of prince k to 5000 coins 😭",3
This was so fun to played thanks for update ☺️😁 we need more updatesssss !!🎉🫧🌷,3
hate it so many unskipable ads I'm trying to get a high score in laba floor challenge when It suddenly bug and I died and I click ad then the ads are not skipable cause I want to revive it but turns out it won't skip ads so I haved to restart all over AND MY SCORE RESET ALL THE WAY DOWN SO FIX IT,1
this game has been my most fav from my childhood... love this..sm🎀🤍🫠,5
This game I like because there is off line gaming and new character and new hoverboards,4
so so nice game like if you are bore you will love it. thank you 💐,5
very nice game,4
this is best game,4
I love this game thank you for making this game 😘😍,5
wow this is the amazing game I ever played I love this game so much interesting 😁,5
it is fun,5
it's amazing I love it it's so fun,5
"This is a really fun game that is completely ruined by the monetization structure. The gameplay is actually pretty fun! A nice, fast paced, little game that could be really addictive. Unfortunately it is COMPLETELY ruined by the absurd number of ads you have to watch! Seriously! Every single reward, event, boost, level, EVERYTHING is behind ads! Ads ads ads!!!! I enjoyed the gameplay, but literally spent 3/4 of my play time watching ads. And no, you can't pay to remove them permanently!",2
"Top Run is not working. My runs are not recorded. Please fix this. This happened after your latest update. It was working prior to it. And the in-game support doesn't provide any help. Check your build, test it and deploy a fix.",2
TIS GAME IS BOMBBB,5
it's the perfect game!,5
Good game i have been playing this game for 4 years since 2014,5
it is very fun to play,5
it is very fun but has some glitches. but awesome overall 👏 👌 🙌 👍,4
"very fun and entertaining my score is approximately 234,219",4
I watch ads to get rewards BUT the ads lock up and I lose my rewards. Not worth playing if I can't get the rewards I watch the commercials for. Worthless!,1
This is one of the best games I've played. I love it,5
"The game should actually be called ""Subway Ads"" because one run is 30 minutes long, but two-thirds of your run is spent watching Ads. They WANT you to watch an Ad, and I will. And I will watch several like I do - but you need to be realistic too. 10 second ads, no external linking to Google Play for ""double clicks"". I shouldn't be watching 60 second Ads, ever - let alone a 30 second one. I want to play a game, if I want to watch TV I will do just that.",3
I love as how y'all improving and adding player vrs players section 👏 but shouldn't be limited to just 5 showdown tickets cus if that happens it makes it boring 😴 and kills the excitement. showdown should even be free from Friday to Monday to rank users at the end of the days or week. showdown must also be in subway city as well and trust me it will be the excitement of the gaming world. it shouldn't be limited online but offline too with friends on local connection,5
it's so fun,5
don't change location plz return old location sheep location plz reatun,3
I love the game,5
playing this game for past three months keeps me busy and I love the characters i would like to see a new update that always keeps me playing. I love subway surfers and I hope you like it to.,5
music cuts out fix it,2
lowkey a fire game bro I always play this on long car rides!,5
this game is like another word to me because the moment am into it I use to forget everything am thinking and it make me feel happy sometime,5
so fun just wish coins were free!,5
Best game in the world,5
"This game is not just a game, this is entertainment, the hunger for getting a higher score is what hooks you to this game "" in a good way"" it's very adventurous, also having the hunger to buy the most expensive stuff is a nice experience. You can play this game offline, but honestly it's more fun with WiFi, ooh I can't wait to see you try this game",5
Great game to kill time with But things could be made more interesting by letting player's challenge one another.,4
it fun and exciting,4
the game is so fun I recommend someone playing it,5
"I have been playing this game for a while and I love it for passing time ,You have to watch ads to continue your run (if you lose ) and to get rewards if you keep getting ads just turn off your WiFi and no more ads",5
The first game for running,5
too good to be true,5
must download,5
l love this game ❤️❤️,5
"Update: Five stars! I enjoy the game. Occasional visual glitches with characters and lag during a run can be annoying but overall the game is fun the characters look great and I love the anime and media references. Thank you for fixing the Tsuki Chan bundle error, I have the character and rewards now. Keep up the good work!",5
"Blah on *forced* ads. :/ (You host a google competition, and thousands join, each one paying $1.99 to *stop the intrusive ads*... and CHA'CHING; evil genius plan complete. LOL) Oh well, the game is awesome, has an arcade feel, almost like a retro mariobro's style. The intrusive ads make it difficult to 'get in a groove' in play, so not sure if it's a keeper yet. ●👉UPDATE: Yes! a *SURE KEEPER*! Pay the $; it's SO worth it! ♡🤠GranniDanni don't bake; gaming is my thing. 🔥""Christ Jesus Saves! 🥰",5
the annoying ads after each game are so annoying.,1
this game is very good here is infinity score and the player run faster to fastest we can play without with Wi-Fi and we play all time all time 😻😻😻😻😻😻😻😻😻,5
This is one of the best games I recommend you to play this once in your life because its too much fun adventure and wonder So Must try and great points I spent my childhood playing this game 🎮 😀 💙,5
very best game of my life,5
why does it cost so many keys now to revive on the first try it went from 1 key to 5 now,3
I love this game ❤️,5
"the game is really nice and quite fun, although once you connect an internet source whilst playing it will make a short pause which might make you fail the game",5
Its really fun and there are no adds,5
good game it's good for people over 10 and under my little cousin is 4 and he loves the game almost as much as he loves me so 5 stars 😍😍😍,5
the best offline game in the world,5
best game subway surfers,5
very impresive,5
i like this app,5
this game give me the energy and it is fun to play,5
very good app and very diseases app I am happy to play this game this is very interested game and this is very good game I want the game is very interesting to be promise many students they were in and bobble in this game my brothers and sisters always playing Subway surfers and top level I am very good player of Subway surfers I am a top level of Subway surfers is very good and very bright game of Subway surfers Subway surfers is a very interested and very proud of game this game will be 100 th,5
love subwaysurf,5
it's the best 👍,5
its was amazing and of Entertainment Its best source of fun Graphic was great,5
wow!!!! amazing game i love ❤️ it playing. 😍 💯 100 TO 100.,5
v.v. nice game i love it 😀 my high score is 5lakh ❤️‍🩹,5
really like it thanks,4
i loved itt!!! good qualityyy,5
bad game second time,5
this is best company of games 17 years of present the game and best game of world an I'm rate 5 stars of thissssssssssss game,5
the game is really nice but it's been more than a month and it is not counting my medals in achievements I've lost 2 champion medals and 4 diamond medals. fix it asap 😭,1
uninstall this game again I install this game I am not coming my progress really really really really really really,1
this game is interested,1
it too long,2
I love this game it is a good of focus,5
I love this game,5
The Subway Surfers game is very nice game ✨,5
super super wow awesome 👍🏻 game,5
very nice 👍 game 🎮 🎯,5
please sybo I lost my progress and all my boards I need my subway surfers account back name is festive coco score is 14000000 thanks great game by the way,5
very nice game,5
it was very fun yayyyy,5
this game is to hard,2
this game is very old but this game made up of gold thanks for make my childhood entertain thanks 👍🙏,5
too many ads now but it was my favorite game as a kid,4
To many ads bat athewais nice.,4
this game is so so good,5
very very nice geam,5
well i love playing it and its great for road trips,5
This game is very exceptional and I really love it,5
this game is so fun you should try this if you have some stress this is the game that will reduce your stress you can pause and resume if you want,5
a good game for both beginners and legends,5
love the Acton and no ads,5
the best game ever in my life,5
This is wonderful game very best game,5
good I love this game ❤️😍,5
its a really good game in my opinion its worth it,5
man I love it bring old memories,5
It's a offline game & this is give some fun when the internat connection fail so this is a grate game....... 🎀💞,5
this game is to interesting I like it too much please download the game because I liked too much no ads very much but very nice 👍👍 I will rate it 5 star,5
cool,4
The OG,5
nice subway surfers game,5
this time is good but it need update every month,3
super game playing,5
it is a very good game it keeps me happy it is very interesting game,4
very good increases reaction skills,5
love this game,5
one of the best games for playing with u are bored so 5/,5
its a nice game,5
super amazing !!!! must play,5
is fun buh had to install,5
so nice and play,5
good game for relaxing,5
i used to love this game. now it jaut has way to many ads,2
Great game for enjoyed life 💞,5
very Good appp,5
it's amazing game on world,5
my Childhood game i always played this game over and over,5
enjoythe showdown,4
this is a good game this is a perfect game,5
"nice good game my high score is 40,699",5
Superb game and nice experience,5
my favorite game nice game 🎮,5
legendary game of our childhood,5
Totally Worst Experience After the new update. Whenever I used to open it 1st time in a day Game Totally Hang and Freeze the phone.,1
Bhaut ha gyda acha hai subway surfers or thanks 🙏👍 namaste,5
Kinda pushed you to your limit😁,5
i love this game i was playing it for yrs and it never gets old,5
this game is the best game in the world. I am surprised with this game because It's both offline and online,5
the game devoloper wants to do sudway surfers x naruto,5
its a very nice game,5
Please if you can leasn the price to buy surfers and don't usually receive awards,5
"the game is amazing, but am not impressed with the teleporting board as it called teleporting board, it have to teleport through the train so am not impressed with the teleporting board",4
this is a good game for children,5
very good game and can you do a event in Japan demon slayer and you can buy character with 10000 coins without money,5
I love this game but it is hard to unlock new characters and earn keys but it is AMAZING I love it Highly recommend this game,5
I like subway surfers sooo.... much... ❤️ My goal is to take sooo many scores and i enjoy this sooo much. This is my 𝗧𝗶𝗺𝗲 𝗽𝘀𝘀𝘀 𝗴𝗮𝗺𝗲💞💖 𝗧𝗵𝗮𝗻𝗸 𝘆𝗼𝘂 𝘀𝗼𝗼 𝗺𝘂𝗰𝗵 𝗳𝗼𝗿 𝗮𝘀𝗸𝗶𝗻𝗴 𝘁𝗵𝗶𝘀 𝘁𝗼 𝗺𝗲.................... 𝗕𝘆𝗲 𝗯𝘆𝗲.. 🙏🙏🙏,5
they are keeping so many competitions and the game is very cool,5
excellent thanks,4
subway surfers is one of the best offline game and also the no.1 runner game. I become never bore while playing this masterpiece.🌟🌟🌟love this game.💗💜💜💜,5
my girl asked me how I'm so good with my fingers.,5
this is the perfect game ever,5
veryyy goddd and viceeee smooth gameplay and challanging Mission,5
so good I love it 😀 too much now add more games like floor is lava,5
very nice game,5
"this is very nice i love it so fun,so good and so nice",5
I don't have words for this game this game is so nice and beautiful ❤️,5
best and old is gold,1
Cool,5
it's besttt,5
it's are very adventurous game in the world my favourite game 🎮,5
fun timewaster I always try to get 1 million score but it's to hard so I grind,5
I hate this game,1
I Like play subway surfers,5
very nice game 🎮,5
super this game,5
"This game do has lots of app ìn purchases and ads but all u need to do is play the game . As a person who has never made any purchases , I nanaged to climb up the top run and got champion . So, I think this game is very well developed and also very justicable(idk if that is a word but who caress anyway)!",5
it is very nice game that I have ever seen and played,5
"perfect for killing time, no need for internet and it's pretty fun to play.",5
sooo nice game must try it out,5
cool,5
I love this game!,5
but it was just not fun for me,5
Satisfied,5
I am very excited and happy to play this game.,5
I loved this game it really fun,5
"It’s fun to play and enjoyable, especially when you’re bored. You can play it and try to beat your highest score. The only problem is the ads sometimes don’t work. I hope it gets fixed soon",5
Is there a button that I can switch counties to than have to wait every month to change country for special events only.,3
"This is the second time l have lost everything in the game, l come to play store and the app shows me my achievements, if there was any chance l could rate this game half star i would, thanks for the terrible experience",1
very good game it is,5
"this is really amazing game but there's one thing I miss about this game, that we can watch ads for characters and boards, I want that to be back in the game pls, update I wonder why you all updated the game like this cuz I miss collecting tokens for boards and characters 🤔",5
Fantastic game since 2017,5
I love this game vere very nice and good,5
this is my favourite game,5
simple and easy to play,5
for next time please Collab with Attack On Titan or Jujutsu Kaisen or Demon Slayer or Dragon ball z,5
my game glitches when I was about to hit 2000event tokens.,1
super fun liget but without music,4
cool,5
this game is actually rlly nice but I think they should add a secret ending,5
"Best game ever, just download it you'll see it for yourself.",5
realy nolstalgic and fun,5
if ur updating the app make it. better than the last one not just editing for fun,4
w game man it can u 25k play points good luck yo I forget to mention that you can transfer play points to actual money,5
I so much love this game,5
cool,5
i gooned to this,5
I Think that the game is awesome but network is taking so long 😐,5
I am very happy for this game daily playing game,5
it is good but when I play showdown it does not show me the leader board and I have already reached 50 trophies and I am at 250 does not unlock.,5
The best game in the world. Helps one learn that you can never really run away from Justice.,5
